+---------+-------------------+----------------+------------+-----------------+
| month   | specialty_name    | encounter_type | encounters | unique_patients |
| 2023-02 | Family Medicine   | Outpatient     |        885 |             583 |
| 2023-02 | Gastroenterology  | Inpatient      |        149 |              98 |
| 2023-02 | Gastroenterology  | Outpatient     |        849 |             561 |
| 2023-02 | Internal Medicine | ER             |        233 |             154 |
| 2023-02 | Internal Medicine | Outpatient     |        683 |             449 |
| 2023-02 | Nephrology        | Inpatient      |        383 |             253 |
| 2023-02 | Nephrology        | Outpatient     |        551 |             362 |
| 2023-02 | Neurology         | ER             |        252 |             168 |
| 2023-02 | Neurology         | Outpatient     |        655 |             432 |
| 2023-02 | Oncology          | ER             |        383 |             253 |
| 2023-02 | Oncology          | Outpatient     |        573 |             378 |
| 2023-02 | Orthopedics       | Inpatient      |        274 |             180 |
| 2023-02 | Orthopedics       | Outpatient     |        646 |             425 |
| 2023-02 | Psychiatry        | ER             |        350 |             231 |
| 2023-02 | Psychiatry        | Outpatient     |        646 |             425 |
| 2023-02 | Pulmonology       | ER             |        210 |             138 |
| 2023-02 | Pulmonology       | Inpatient      |        332 |             219 |
| 2023-02 | Pulmonology       | Outpatient     |        435 |             287 |
| 2023-03 | Cardiology        | ER             |        214 |             141 |
| 2023-03 | Cardiology        | Outpatient     |        852 |             558 |
| 2023-03 | Emergency         | ER             |         85 |              55 |
| 2023-03 | Emergency         | Outpatient     |        955 |             625 |
| 2023-03 | Endocrinology     | ER             |        195 |             127 |
| 2023-03 | Endocrinology     | Inpatient      |        196 |             129 |
| 2023-03 | Endocrinology     | Outpatient     |        694 |             454 |
| 2023-03 | Family Medicine   | ER             |        309 |             203 |
| 2023-03 | Family Medicine   | Inpatient      |         75 |              49 |
| 2023-03 | Family Medicine   | Outpatient     |        711 |             467 |
| 2023-03 | Gastroenterology  | ER             |         91 |              60 |
| 2023-03 | Gastroenterology  | Inpatient      |        235 |             154 |
| 2023-03 | Gastroenterology  | Outpatient     |        721 |             471 |
| 2023-03 | Internal Medicine | ER             |        384 |             252 |
| 2023-03 | Internal Medicine | Outpatient     |        686 |             449 |
| 2023-03 | Nephrology        | ER             |        385 |             252 |
| 2023-03 | Nephrology        | Outpatient     |        663 |             434 |
| 2023-03 | Neurology         | Inpatient      |        383 |             252 |
| 2023-03 | Neurology         | Outpatient     |        702 |             460 |
| 2023-03 | Oncology          | Inpatient      |        253 |             166 |
| 2023-03 | Oncology          | Outpatient     |        786 |             515 |
| 2023-03 | Orthopedics       | ER             |        386 |             252 |
| 2023-03 | Orthopedics       | Outpatient     |        711 |             465 |
| 2023-03 | Psychiatry        | ER             |        174 |             115 |
| 2023-03 | Psychiatry        | Inpatient      |         50 |              33 |
| 2023-03 | Psychiatry        | Outpatient     |        815 |             533 |
| 2023-03 | Pulmonology       | ER             |        273 |             179 |
| 2023-03 | Pulmonology       | Inpatient      |         54 |              35 |
| 2023-03 | Pulmonology       | Outpatient     |        712 |             466 |
| 2023-04 | Cardiology        | Inpatient      |        382 |             253 |
| 2023-04 | Cardiology        | Outpatient     |        607 |             401 |
| 2023-04 | Emergency         | ER             |        312 |             205 |
| 2023-04 | Emergency         | Outpatient     |        687 |             452 |
| 2023-04 | Endocrinology     | ER             |        385 |             252 |
| 2023-04 | Endocrinology     | Outpatient     |        613 |             403 |
| 2023-04 | Family Medicine   | ER             |        385 |             253 |
| 2023-04 | Family Medicine   | Inpatient      |        174 |             114 |
| 2023-04 | Family Medicine   | Outpatient     |        443 |             292 |
| 2023-04 | Gastroenterology  | ER             |        294 |             192 |
| 2023-04 | Gastroenterology  | Outpatient     |        702 |             461 |
| 2023-04 | Internal Medicine | Inpatient      |        133 |              87 |
| 2023-04 | Internal Medicine | Outpatient     |        932 |             613 |
| 2023-04 | Nephrology        | ER             |        154 |             102 |
| 2023-04 | Nephrology        | Outpatient     |        922 |             607 |
| 2023-04 | Neurology         | ER             |        355 |             234 |
| 2023-04 | Neurology         | Outpatient     |        688 |             452 |
| 2023-04 | Oncology          | ER             |        172 |             113 |
| 2023-04 | Oncology          | Inpatient      |        131 |              86 |
| 2023-04 | Oncology          | Outpatient     |        757 |             499 |
| 2023-04 | Orthopedics       | ER             |        286 |             189 |
| 2023-04 | Orthopedics       | Inpatient      |         47 |              32 |
| 2023-04 | Orthopedics       | Outpatient     |        691 |             455 |
| 2023-04 | Psychiatry        | ER             |         92 |              60 |
| 2023-04 | Psychiatry        | Inpatient      |        333 |             219 |
| 2023-04 | Psychiatry        | Outpatient     |        598 |             394 |
| 2023-04 | Pulmonology       | ER             |        111 |              73 |
| 2023-04 | Pulmonology       | Outpatient     |        934 |             613 |
| 2023-05 | Cardiology        | ER             |        384 |             253 |
| 2023-05 | Cardiology        | Outpatient     |        679 |             448 |
| 2023-05 | Emergency         | ER             |        258 |             169 |
| 2023-05 | Emergency         | Inpatient      |        384 |             253 |
| 2023-05 | Emergency         | Outpatient     |        454 |             300 |
| 2023-05 | Endocrinology     | Inpatient      |        237 |             156 |
| 2023-05 | Endocrinology     | Outpatient     |        809 |             533 |
| 2023-05 | Family Medicine   | ER             |        256 |             169 |
| 2023-05 | Family Medicine   | Outpatient     |        781 |             514 |
| 2023-05 | Gastroenterology  | ER             |        386 |             253 |
| 2023-05 | Gastroenterology  | Outpatient     |        699 |             459 |
| 2023-05 | Internal Medicine | ER             |         75 |              49 |
| 2023-05 | Internal Medicine | Inpatient      |        250 |             166 |
| 2023-05 | Internal Medicine | Outpatient     |        713 |             470 |
| 2023-05 | Nephrology        | ER             |        231 |             151 |
| 2023-05 | Nephrology        | Outpatient     |        817 |             538 |
| 2023-05 | Neurology         | ER             |         83 |              55 |
| 2023-05 | Neurology         | Outpatient     |        958 |             630 |
| 2023-05 | Oncology          | ER             |        213 |             140 |
| 2023-05 | Oncology          | Outpatient     |        860 |             566 |
| 2023-05 | Orthopedics       | ER             |        276 |             181 |
| 2023-05 | Orthopedics       | Inpatient      |         84 |              54 |
| 2023-05 | Orthopedics       | Outpatient     |        677 |             445 |
| 2023-05 | Psychiatry        | ER             |        388 |             255 |
| 2023-05 | Psychiatry        | Outpatient     |        713 |             467 |
| 2023-05 | Pulmonology       | Inpatient      |        382 |             254 |
| 2023-05 | Pulmonology       | Outpatient     |        703 |             462 |
| 2023-06 | Cardiology        | ER             |        136 |              89 |
| 2023-06 | Cardiology        | Outpatient     |        930 |             611 |
| 2023-06 | Emergency         | ER             |        338 |             222 |
| 2023-06 | Emergency         | Outpatient     |        685 |             451 |
| 2023-06 | Endocrinology     | ER             |        158 |             103 |
| 2023-06 | Endocrinology     | Inpatient      |        147 |              97 |
| 2023-06 | Endocrinology     | Outpatient     |        769 |             505 |
| 2023-06 | Family Medicine   | ER             |        128 |              84 |
| 2023-06 | Family Medicine   | Outpatient     |        932 |             611 |
| 2023-06 | Gastroenterology  | ER             |        253 |             165 |
| 2023-06 | Gastroenterology  | Inpatient      |        117 |              77 |
| 2023-06 | Gastroenterology  | Outpatient     |        681 |             446 |
| 2023-06 | Internal Medicine | ER             |        311 |             203 |
| 2023-06 | Internal Medicine | Outpatient     |        689 |             452 |
| 2023-06 | Nephrology        | Inpatient      |        384 |             252 |
| 2023-06 | Nephrology        | Outpatient     |        609 |             401 |
| 2023-06 | Neurology         | ER             |        211 |             138 |
| 2023-06 | Neurology         | Inpatient      |        119 |              78 |
| 2023-06 | Neurology         | Outpatient     |        688 |             451 |
| 2023-06 | Oncology          | ER             |        385 |             252 |
| 2023-06 | Oncology          | Outpatient     |        606 |             399 |
| 2023-06 | Orthopedics       | ER             |        108 |              72 |
| 2023-06 | Orthopedics       | Inpatient      |        118 |              78 |
| 2023-06 | Orthopedics       | Outpatient     |        814 |             533 |
| 2023-06 | Psychiatry        | Inpatient      |        319 |             209 |
| 2023-06 | Psychiatry        | Outpatient     |        689 |             451 |
| 2023-06 | Pulmonology       | ER             |        385 |             252 |
| 2023-06 | Pulmonology       | Outpatient     |        610 |             401 |
| 2023-07 | Cardiology        | ER             |        249 |             163 |
| 2023-07 | Cardiology        | Outpatient     |        792 |             519 |
| 2023-07 | Emergency         | ER             |         47 |              30 |
| 2023-07 | Emergency         | Inpatient      |         37 |              25 |
| 2023-07 | Emergency         | Outpatient     |        950 |             626 |
| 2023-07 | Endocrinology     | ER             |        228 |             149 |
| 2023-07 | Endocrinology     | Outpatient     |        822 |             543 |
| 2023-07 | Family Medicine   | Inpatient      |        385 |             253 |
| 2023-07 | Family Medicine   | Outpatient     |        690 |             453 |
| 2023-07 | Gastroenterology  | ER             |         84 |              55 |
| 2023-07 | Gastroenterology  | Inpatient      |        268 |             175 |
| 2023-07 | Gastroenterology  | Outpatient     |        685 |             450 |
| 2023-07 | Internal Medicine | ER             |        242 |             159 |
| 2023-07 | Internal Medicine | Inpatient      |        144 |              95 |
| 2023-07 | Internal Medicine | Outpatient     |        712 |             468 |
| 2023-07 | Nephrology        | ER             |        385 |             253 |
| 2023-07 | Nephrology        | Outpatient     |        696 |             458 |
| 2023-07 | Neurology         | ER             |        385 |             252 |
| 2023-07 | Neurology         | Inpatient      |        130 |              85 |
| 2023-07 | Neurology         | Outpatient     |        581 |             382 |
| 2023-07 | Oncology          | Inpatient      |        220 |             145 |
| 2023-07 | Oncology          | Outpatient     |        843 |             553 |
| 2023-07 | Orthopedics       | ER             |        385 |             252 |
| 2023-07 | Orthopedics       | Outpatient     |        708 |             465 |
| 2023-07 | Psychiatry        | ER             |        262 |             173 |
| 2023-07 | Psychiatry        | Inpatient      |         68 |              44 |
| 2023-07 | Psychiatry        | Outpatient     |        715 |             468 |
| 2023-07 | Pulmonology       | ER             |        239 |             158 |
| 2023-07 | Pulmonology       | Outpatient     |        798 |             524 |
| 2023-08 | Cardiology        | ER             |        300 |             199 |
| 2023-08 | Cardiology        | Inpatient      |        384 |             253 |
| 2023-08 | Cardiology        | Outpatient     |        349 |             230 |
| 2023-08 | Emergency         | Inpatient      |        347 |             227 |
| 2023-08 | Emergency         | Outpatient     |        714 |             469 |
| 2023-08 | Endocrinology     | ER             |        386 |             253 |
| 2023-08 | Endocrinology     | Outpatient     |        656 |             432 |
| 2023-08 | Family Medicine   | ER             |        385 |             254 |
| 2023-08 | Family Medicine   | Outpatient     |        651 |             428 |
| 2023-08 | Gastroenterology  | ER             |        326 |             215 |
| 2023-08 | Gastroenterology  | Outpatient     |        712 |             469 |
| 2023-08 | Internal Medicine | ER             |        366 |             240 |
| 2023-08 | Internal Medicine | Inpatient      |        106 |              69 |
| 2023-08 | Internal Medicine | Outpatient     |        605 |             398 |
| 2023-08 | Nephrology        | ER             |        141 |              94 |
| 2023-08 | Nephrology        | Outpatient     |        950 |             627 |
| 2023-08 | Neurology         | ER             |        344 |             226 |
| 2023-08 | Neurology         | Outpatient     |        711 |             470 |
| 2023-08 | Oncology          | ER             |        162 |             106 |
| 2023-08 | Oncology          | Inpatient      |        165 |             109 |
| 2023-08 | Oncology          | Outpatient     |        771 |             506 |
| 2023-08 | Orthopedics       | Inpatient      |        324 |             213 |
| 2023-08 | Orthopedics       | Outpatient     |        712 |             472 |
| 2023-08 | Psychiatry        | ER             |        123 |              81 |
| 2023-08 | Psychiatry        | Outpatient     |        953 |             628 |
| 2023-08 | Pulmonology       | ER             |        145 |              96 |
| 2023-08 | Pulmonology       | Outpatient     |        949 |             625 |
| 2023-09 | Cardiology        | ER             |        385 |             252 |
| 2023-09 | Cardiology        | Outpatient     |        671 |             439 |
| 2023-09 | Emergency         | ER             |        385 |             253 |
| 2023-09 | Emergency         | Outpatient     |        688 |             451 |
| 2023-09 | Endocrinology     | ER             |        323 |             212 |
| 2023-09 | Endocrinology     | Inpatient      |        203 |             133 |
| 2023-09 | Endocrinology     | Outpatient     |        504 |             331 |
| 2023-09 | Family Medicine   | ER             |        225 |             147 |
| 2023-09 | Family Medicine   | Outpatient     |        789 |             519 |
| 2023-09 | Gastroenterology  | Inpatient      |        385 |             252 |
| 2023-09 | Gastroenterology  | Outpatient     |        689 |             452 |
| 2023-09 | Internal Medicine | ER             |         64 |              42 |
| 2023-09 | Internal Medicine | Outpatient     |        933 |             611 |
| 2023-09 | Nephrology        | ER             |        140 |              91 |
| 2023-09 | Nephrology        | Inpatient      |        165 |             108 |
| 2023-09 | Nephrology        | Outpatient     |        689 |             452 |
| 2023-09 | Neurology         | ER             |         41 |              27 |
| 2023-09 | Neurology         | Inpatient      |         21 |              14 |
| 2023-09 | Neurology         | Outpatient     |        929 |             611 |
| 2023-09 | Oncology          | ER             |        223 |             146 |
| 2023-09 | Oncology          | Outpatient     |        794 |             519 |
| 2023-09 | Orthopedics       | ER             |        243 |             159 |
| 2023-09 | Orthopedics       | Inpatient      |         61 |              40 |
| 2023-09 | Orthopedics       | Outpatient     |        692 |             452 |
| 2023-09 | Psychiatry        | ER             |        386 |             252 |
| 2023-09 | Psychiatry        | Outpatient     |        671 |             440 |
| 2023-09 | Pulmonology       | Inpatient      |        385 |             252 |
| 2023-09 | Pulmonology       | Outpatient     |        648 |             426 |
| 2023-10 | Cardiology        | Inpatient      |        126 |              82 |
| 2023-10 | Cardiology        | Outpatient     |        952 |             626 |
| 2023-10 | Emergency         | ER             |        328 |             216 |
| 2023-10 | Emergency         | Outpatient     |        712 |             468 |
| 2023-10 | Endocrinology     | ER             |        146 |              95 |
| 2023-10 | Endocrinology     | Inpatient      |        183 |             119 |
| 2023-10 | Endocrinology     | Outpatient     |        769 |             505 |
| 2023-10 | Family Medicine   | ER             |        286 |             189 |
| 2023-10 | Family Medicine   | Outpatient     |        808 |             532 |
| 2023-10 | Gastroenterology  | ER             |        347 |             229 |
| 2023-10 | Gastroenterology  | Outpatient     |        711 |             468 |
| 2023-10 | Internal Medicine | ER             |        342 |             224 |
| 2023-10 | Internal Medicine | Outpatient     |        712 |             468 |
| 2023-10 | Nephrology        | ER             |        322 |             212 |
| 2023-10 | Nephrology        | Inpatient      |         83 |              55 |
| 2023-10 | Nephrology        | Outpatient     |        633 |             416 |
| 2023-10 | Neurology         | Inpatient      |        363 |             238 |
| 2023-10 | Neurology         | Outpatient     |        709 |             467 |
| 2023-10 | Oncology          | ER             |        196 |             130 |
| 2023-10 | Oncology          | Inpatient      |        188 |             123 |
| 2023-10 | Oncology          | Outpatient     |        649 |             427 |
| 2023-10 | Orthopedics       | ER             |        141 |              93 |
| 2023-10 | Orthopedics       | Outpatient     |        958 |             629 |
| 2023-10 | Psychiatry        | Inpatient      |        307 |             202 |
| 2023-10 | Psychiatry        | Outpatient     |        727 |             479 |
| 2023-10 | Pulmonology       | ER             |        386 |             253 |
| 2023-10 | Pulmonology       | Outpatient     |        652 |             429 |
| 2023-11 | Cardiology        | ER             |         46 |              30 |
| 2023-11 | Cardiology        | Inpatient      |        259 |             172 |
| 2023-11 | Cardiology        | Outpatient     |        688 |             454 |
| 2023-11 | Emergency         | ER             |         59 |              38 |
| 2023-11 | Emergency         | Inpatient      |          5 |               3 |
| 2023-11 | Emergency         | Outpatient     |        931 |             614 |
| 2023-11 | Endocrinology     | ER             |        240 |             158 |
| 2023-11 | Endocrinology     | Outpatient     |        761 |             500 |
| 2023-11 | Family Medicine   | ER             |        219 |             144 |
| 2023-11 | Family Medicine   | Inpatient      |        385 |             254 |
| 2023-11 | Family Medicine   | Outpatient     |        415 |             273 |
| 2023-11 | Gastroenterology  | ER             |         61 |              41 |
| 2023-11 | Gastroenterology  | Outpatient     |        934 |             612 |
| 2023-11 | Internal Medicine | Inpatient      |        386 |             253 |
| 2023-11 | Internal Medicine | Outpatient     |        688 |             454 |
| 2023-11 | Nephrology        | ER             |        384 |             253 |
| 2023-11 | Nephrology        | Outpatient     |        686 |             451 |
| 2023-11 | Neurology         | ER             |        383 |             254 |
| 2023-11 | Neurology         | Outpatient     |        676 |             446 |
| 2023-11 | Oncology          | ER             |        383 |             253 |
| 2023-11 | Oncology          | Inpatient      |         62 |              40 |
| 2023-11 | Oncology          | Outpatient     |        607 |             399 |
| 2023-11 | Orthopedics       | ER             |        384 |             254 |
| 2023-11 | Orthopedics       | Outpatient     |        652 |             429 |
| 2023-11 | Psychiatry        | ER             |        227 |             150 |
| 2023-11 | Psychiatry        | Inpatient      |         79 |              51 |
| 2023-11 | Psychiatry        | Outpatient     |        704 |             464 |
| 2023-11 | Pulmonology       | ER             |        175 |             115 |
| 2023-11 | Pulmonology       | Inpatient      |         32 |              21 |
| 2023-11 | Pulmonology       | Outpatient     |        824 |             542 |
| 2023-12 | Cardiology        | ER             |        338 |             222 |
| 2023-12 | Cardiology        | Outpatient     |        708 |             465 |
| 2023-12 | Emergency         | Inpatient      |        381 |             250 |
| 2023-12 | Emergency         | Outpatient     |        710 |             466 |
| 2023-12 | Endocrinology     | Inpatient      |        386 |             252 |
| 2023-12 | Endocrinology     | Outpatient     |        653 |             428 |
| 2023-12 | Family Medicine   | ER             |        383 |             252 |
| 2023-12 | Family Medicine   | Outpatient     |        651 |             428 |
| 2023-12 | Gastroenterology  | ER             |        359 |             236 |
| 2023-12 | Gastroenterology  | Outpatient     |        714 |             468 |
| 2023-12 | Internal Medicine | ER             |        329 |             217 |
| 2023-12 | Internal Medicine | Outpatient     |        711 |             467 |
| 2023-12 | Nephrology        | Inpatient      |        108 |              71 |
| 2023-12 | Nephrology        | Outpatient     |        956 |             626 |
| 2023-12 | Neurology         | ER             |        312 |             203 |
| 2023-12 | Neurology         | Outpatient     |        722 |             475 |
| 2023-12 | Oncology          | ER             |        128 |              84 |
| 2023-12 | Oncology          | Outpatient     |        954 |             624 |
| 2023-12 | Orthopedics       | ER             |        367 |             241 |
| 2023-12 | Orthopedics       | Inpatient      |        290 |             190 |
| 2023-12 | Orthopedics       | Outpatient     |        382 |             250 |
| 2023-12 | Psychiatry        | ER             |        157 |             103 |
| 2023-12 | Psychiatry        | Outpatient     |        937 |             614 |
| 2023-12 | Pulmonology       | ER             |        149 |              98 |
| 2023-12 | Pulmonology       | Inpatient      |        178 |             117 |
| 2023-12 | Pulmonology       | Outpatient     |        769 |             504 |
| 2024-01 | Cardiology        | ER             |        383 |             253 |
| 2024-01 | Cardiology        | Outpatient     |        713 |             467 |
| 2024-01 | Emergency         | ER             |        382 |             253 |
| 2024-01 | Emergency         | Outpatient     |        700 |             462 |
| 2024-01 | Endocrinology     | ER             |        385 |             254 |
| 2024-01 | Endocrinology     | Outpatient     |        702 |             461 |
| 2024-01 | Family Medicine   | Inpatient      |        212 |             140 |
| 2024-01 | Family Medicine   | Outpatient     |        857 |             564 |
| 2024-01 | Gastroenterology  | ER             |          8 |               5 |
| 2024-01 | Gastroenterology  | Inpatient      |        384 |             254 |
| 2024-01 | Gastroenterology  | Outpatient     |        705 |             460 |
| 2024-01 | Internal Medicine | ER             |         86 |              55 |
| 2024-01 | Internal Medicine | Outpatient     |        954 |             628 |
| 2024-01 | Nephrology        | ER             |         50 |              33 |
| 2024-01 | Nephrology        | Inpatient      |        277 |             181 |
| 2024-01 | Nephrology        | Outpatient     |        711 |             468 |
| 2024-01 | Neurology         | ER             |        325 |             215 |
| 2024-01 | Neurology         | Inpatient      |          9 |               6 |
| 2024-01 | Neurology         | Outpatient     |        702 |             461 |
| 2024-01 | Oncology          | ER             |        255 |             168 |
| 2024-01 | Oncology          | Outpatient     |        779 |             513 |
| 2024-01 | Orthopedics       | ER             |        231 |             153 |
| 2024-01 | Orthopedics       | Inpatient      |         95 |              62 |
| 2024-01 | Orthopedics       | Outpatient     |        722 |             473 |
| 2024-01 | Psychiatry        | ER             |        151 |             100 |
| 2024-01 | Psychiatry        | Inpatient      |        235 |             153 |
| 2024-01 | Psychiatry        | Outpatient     |        683 |             448 |
| 2024-01 | Pulmonology       | ER             |        236 |             154 |
| 2024-01 | Pulmonology       | Inpatient      |         38 |              25 |
| 2024-01 | Pulmonology       | Outpatient     |        768 |             505 |
| 2024-02 | Cardiology        | Inpatient      |         71 |              46 |
| 2024-02 | Cardiology        | Outpatient     |        908 |             600 |
| 2024-02 | Emergency         | ER             |        129 |              85 |
| 2024-02 | Emergency         | Inpatient      |        143 |              94 |
| 2024-02 | Emergency         | Outpatient     |        679 |             448 |
| 2024-02 | Endocrinology     | ER             |         89 |              59 |
| 2024-02 | Endocrinology     | Outpatient     |        911 |             599 |
| 2024-02 | Family Medicine   | ER             |        110 |              72 |
| 2024-02 | Family Medicine   | Inpatient      |        172 |             113 |
| 2024-02 | Family Medicine   | Outpatient     |        739 |             486 |
| 2024-02 | Gastroenterology  | ER             |        291 |             192 |
| 2024-02 | Gastroenterology  | Outpatient     |        668 |             439 |
| 2024-02 | Internal Medicine | ER             |        353 |             234 |
| 2024-02 | Internal Medicine | Outpatient     |        667 |             438 |
| 2024-02 | Nephrology        | ER             |        336 |             221 |
| 2024-02 | Nephrology        | Outpatient     |        668 |             440 |
| 2024-02 | Neurology         | ER             |        134 |              88 |
| 2024-02 | Neurology         | Inpatient      |        376 |             247 |
| 2024-02 | Neurology         | Outpatient     |        535 |             352 |
| 2024-02 | Oncology          | Inpatient      |        384 |             253 |
| 2024-02 | Oncology          | Outpatient     |        601 |             394 |
| 2024-02 | Orthopedics       | ER             |        152 |             101 |
| 2024-02 | Orthopedics       | Outpatient     |        889 |             584 |
| 2024-02 | Psychiatry        | ER             |        385 |             253 |
| 2024-02 | Psychiatry        | Inpatient      |         16 |              10 |
| 2024-02 | Psychiatry        | Outpatient     |        550 |             362 |
| 2024-02 | Pulmonology       | ER             |        384 |             253 |
| 2024-02 | Pulmonology       | Outpatient     |        578 |             382 |
| 2024-03 | Cardiology        | ER             |         40 |              26 |
| 2024-03 | Cardiology        | Inpatient      |        315 |             206 |
| 2024-03 | Cardiology        | Outpatient     |        679 |             446 |
| 2024-03 | Emergency         | ER             |        215 |             140 |
| 2024-03 | Emergency         | Inpatient      |        111 |              73 |
| 2024-03 | Emergency         | Outpatient     |        738 |             484 |
| 2024-03 | Endocrinology     | ER             |        295 |             193 |
| 2024-03 | Endocrinology     | Outpatient     |        745 |             487 |
| 2024-03 | Family Medicine   | ER             |        274 |             180 |
| 2024-03 | Family Medicine   | Outpatient     |        768 |             502 |
| 2024-03 | Gastroenterology  | ER             |         94 |              61 |
| 2024-03 | Gastroenterology  | Outpatient     |        955 |             627 |
| 2024-03 | Internal Medicine | ER             |        385 |             252 |
| 2024-03 | Internal Medicine | Inpatient      |        356 |             233 |
| 2024-03 | Internal Medicine | Outpatient     |        327 |             214 |
| 2024-03 | Nephrology        | ER             |        375 |             247 |
| 2024-03 | Nephrology        | Outpatient     |        710 |             466 |
| 2024-03 | Neurology         | ER             |        385 |             252 |
| 2024-03 | Neurology         | Outpatient     |        664 |             434 |
| 2024-03 | Oncology          | ER             |        386 |             252 |
| 2024-03 | Oncology          | Outpatient     |        714 |             468 |
| 2024-03 | Orthopedics       | Inpatient      |        383 |             252 |
| 2024-03 | Orthopedics       | Outpatient     |        654 |             427 |
| 2024-03 | Psychiatry        | ER             |        194 |             127 |
| 2024-03 | Psychiatry        | Outpatient     |        894 |             585 |
| 2024-03 | Pulmonology       | Inpatient      |        174 |             114 |
| 2024-03 | Pulmonology       | Outpatient     |        920 |             604 |
| 2024-04 | Cardiology        | ER             |        374 |             245 |
| 2024-04 | Cardiology        | Outpatient     |        691 |             455 |
| 2024-04 | Emergency         | ER             |        170 |             112 |
| 2024-04 | Emergency         | Outpatient     |        897 |             590 |
| 2024-04 | Endocrinology     | ER             |         52 |              34 |
| 2024-04 | Endocrinology     | Inpatient      |        384 |             253 |
| 2024-04 | Endocrinology     | Outpatient     |        603 |             398 |
| 2024-04 | Family Medicine   | ER             |        384 |             253 |
| 2024-04 | Family Medicine   | Outpatient     |        635 |             418 |
| 2024-04 | Gastroenterology  | ER             |        107 |              70 |
| 2024-04 | Gastroenterology  | Inpatient      |        278 |             184 |
| 2024-04 | Gastroenterology  | Outpatient     |        688 |             454 |
| 2024-04 | Internal Medicine | ER             |        277 |             182 |
| 2024-04 | Internal Medicine | Inpatient      |         23 |              15 |
| 2024-04 | Internal Medicine | Outpatient     |        697 |             457 |
| 2024-04 | Nephrology        | ER             |        303 |             200 |
| 2024-04 | Nephrology        | Inpatient      |         53 |              35 |
| 2024-04 | Nephrology        | Outpatient     |        637 |             418 |
| 2024-04 | Neurology         | Inpatient      |        253 |             167 |
| 2024-04 | Neurology         | Outpatient     |        734 |             484 |
| 2024-04 | Oncology          | ER             |         73 |              49 |
| 2024-04 | Oncology          | Outpatient     |        933 |             612 |
| 2024-04 | Orthopedics       | ER             |        386 |             253 |
| 2024-04 | Orthopedics       | Outpatient     |        619 |             406 |
| 2024-04 | Psychiatry        | ER             |        192 |             125 |
| 2024-04 | Psychiatry        | Outpatient     |        856 |             563 |
| 2024-04 | Pulmonology       | ER             |         93 |              61 |
| 2024-04 | Pulmonology       | Inpatient      |        209 |             138 |
| 2024-04 | Pulmonology       | Outpatient     |        718 |             474 |
| 2024-05 | Cardiology        | ER             |         85 |              55 |
| 2024-05 | Cardiology        | Inpatient      |        274 |             181 |
| 2024-05 | Cardiology        | Outpatient     |        711 |             468 |
| 2024-05 | Emergency         | ER             |        384 |             254 |
| 2024-05 | Emergency         | Outpatient     |        654 |             428 |
| 2024-05 | Endocrinology     | ER             |        381 |             250 |
| 2024-05 | Endocrinology     | Outpatient     |        712 |             469 |
| 2024-05 | Family Medicine   | ER             |         72 |              48 |
| 2024-05 | Family Medicine   | Inpatient      |        156 |             104 |
| 2024-05 | Family Medicine   | Outpatient     |        866 |             569 |
| 2024-05 | Gastroenterology  | ER             |        386 |             253 |
